depth;name;parent_code_kemendagri;code_kemendagri
1;ACEH;;11
2;KAB. ACEH SELATAN;11;11.01
3;BAKONGAN;11.01;11.01.01
4;KEUDE BAKONGAN;11.01.01;11.01.01.2001
4;UJONG MANGKI;11.01.01;11.01.01.2002
4;UJONG PADANG;11.01.01;11.01.01.2003
4;GAMPONG DRIEN;11.01.01;11.01.01.2004
4;DARUL IKHSAN;11.01.01;11.01.01.2015
4;PADANG BEURAHAN;11.01.01;11.01.01.2016
4;GAMPONG BARO;11.01.01;11.01.01.2017
3;KLUET UTARA;11.01;11.01.02
4;FAJAR HARAPAN;11.01.02;11.01.02.2001
4;KRUENG BATEE;11.01.02;11.01.02.2002
4;PASI KUALA ASAHAN;11.01.02;11.01.02.2003
4;GUNUNG PULO;11.01.02;11.01.02.2004
4;PULO IE I;11.01.02;11.01.02.2005
4;JAMBO MANYANG;11.01.02;11.01.02.2006
4;SIMPANG EMPAT;11.01.02;11.01.02.2007
4;LIMAU PURUT;11.01.02;11.01.02.2008
4;PULO KAMBING;11.01.02;11.01.02.2009
4;KAMPUNG PAYA;11.01.02;11.01.02.2010
4;KRUENG BATU;11.01.02;11.01.02.2011
4;KRUENG KLUET;11.01.02;11.01.02.2012
4;ALUR MAS;11.01.02;11.01.02.2013
4;KAMPUNG TINGGI;11.01.02;11.01.02.2014
4;RUAK;11.01.02;11.01.02.2015
4;SIMPANG LHEE;11.01.02;11.01.02.2016
4;SUAQ GEURINGGENG;11.01.02;11.01.02.2017
4;PASI KUALA BA'U;11.01.02;11.01.02.2018
4;KEDAI PADANG;11.01.02;11.01.02.2019
4;KOTAFAJAR;11.01.02;11.01.02.2020
4;GUNUNG PUDUNG;11.01.02;11.01.02.2021
3;KLUET SELATAN;11.01;11.01.03
4;SUAQ BAKUNG;11.01.03;11.01.03.2001
4;RANTAU BINUANG;11.01.03;11.01.03.2002
4;BARAT DAYA;11.01.03;11.01.03.2003
4;SIALANG;11.01.03;11.01.03.2004
4;KAPEH;11.01.03;11.01.03.2005
4;PULO IE;11.01.03;11.01.03.2006
4;KEDAI RUNDING;11.01.03;11.01.03.2007
4;KEDAI KANDANG;11.01.03;11.01.03.2008
4;GAMPONG LUAR;11.01.03;11.01.03.2009
4;UJUNG;11.01.03;11.01.03.2010
4;JUA;11.01.03;11.01.03.2011
4;PASI MEURAPAT;11.01.03;11.01.03.2012
4;UJUNG PASIR;11.01.03;11.01.03.2013
4;GEULUMBUK;11.01.03;11.01.03.2014
4;PASIE LEMBANG;11.01.03;11.01.03.2015
4;UJUNG PADANG;11.01.03;11.01.03.2016
4;INDRA DAMAI;11.01.03;11.01.03.2017
3;LABUHAN HAJI;11.01;11.01.04
4;BAKAU HULU;11.01.04;11.01.04.2001
4;PADANG BAKAU;11.01.04;11.01.04.2002
4;MANGGIS HARAPAN;11.01.04;11.01.04.2003
4;PASAR LAMA;11.01.04;11.01.04.2004
4;APHA;11.01.04;11.01.04.2005
4;UJUNG BATU;11.01.04;11.01.04.2006
4;PAWOH;11.01.04;11.01.04.2007
4;DALAM;11.01.04;11.01.04.2008
4;KOTA PALAK;11.01.04;11.01.04.2009
4;CACANG;11.01.04;11.01.04.2010
4;TENGAH PISANG;11.01.04;11.01.04.2011
4;PISANG;11.01.04;11.01.04.2012
4;HULU PISANG;11.01.04;11.01.04.2013
4;TENGAH BARU;11.01.04;11.01.04.2014
4;LEMBAH BARU;11.01.04;11.01.04.2015
4;PADANG BARU;11.01.04;11.01.04.2016
3;MEUKEK;11.01;11.01.05
4;KUTA BULOH II;11.01.05;11.01.05.2001
4;KUTA BULOH I;11.01.05;11.01.05.2002
4;IE DINGEN;11.01.05;11.01.05.2003
4;DRIEN JALO;11.01.05;11.01.05.2004
4;JAMBO PAPEUN;11.01.05;11.01.05.2005
4;BUKET MEUH;11.01.05;11.01.05.2006
4;BLANG KUALA;11.01.05;11.01.05.2007
4;ROT TEUNGOH;11.01.05;11.01.05.2008
4;ALUE BARO;11.01.05;11.01.05.2009
4;LADANG TUHA;11.01.05;11.01.05.2010
4;LHOK MAMPLAM;11.01.05;11.01.05.2011
4;ARUN TUNGGAI;11.01.05;11.01.05.2012
4;BLANG TEUNGOH;11.01.05;11.01.05.2013
4;BLANG BLADEH;11.01.05;11.01.05.2014
4;IE BUBOH;11.01.05;11.01.05.2015
4;KEUDE MEUKEK;11.01.05;11.01.05.2016
4;KUTA BARO;11.01.05;11.01.05.2017
4;TANJUNG HARAPAN;11.01.05;11.01.05.2018
4;LABUHAN TAROK;11.01.05;11.01.05.2019
4;LHOK AMAN;11.01.05;11.01.05.2020
4;ALUE MEUTUAH;11.01.05;11.01.05.2021
4;LADANG BARO;11.01.05;11.01.05.2022
4;LABUHAN TAROK II;11.01.05;11.01.05.2023
3;SAMADUA;11.01;11.01.06
4;DALAM;11.01.06;11.01.06.2001
4;SUBARANG;11.01.06;11.01.06.2002
4;KUTA BARU;11.01.06;11.01.06.2003
4;GUNUNG KETEK;11.01.06;11.01.06.2004
4;LADANG PANTON LUAS;11.01.06;11.01.06.2005
4;MADAT;11.01.06;11.01.06.2006
4;ALUR SEUMERAH;11.01.06;11.01.06.2007
4;TENGAH;11.01.06;11.01.06.2008
4;GUNUNG CUT;11.01.06;11.01.06.2009
4;ALUR PINANG;11.01.06;11.01.06.2010
4;KUTA BLANG;11.01.06;11.01.06.2011
4;BATEE TUNGGAI;11.01.06;11.01.06.2012
4;UJUNG TANAH;11.01.06;11.01.06.2013
4;UJUNG KAMPUNG;11.01.06;11.01.06.2014
4;JILATANG;11.01.06;11.01.06.2015
4;LUAR;11.01.06;11.01.06.2016
4;LUBUK LAYU;11.01.06;11.01.06.2017
4;SUAQ HULU;11.01.06;11.01.06.2018
4;TAMPANG;11.01.06;11.01.06.2019
4;PAYONAN GADANG;11.01.06;11.01.06.2020
4;GADANG;11.01.06;11.01.06.2021
4;BARU;11.01.06;11.01.06.2022
4;LADANG KASIK PUTIH;11.01.06;11.01.06.2023
4;AIR SIALANG HILIR.;11.01.06;11.01.06.2024
4;AIR SIALANG HULU;11.01.06;11.01.06.2025
4;AIR SIALANG TENGAH;11.01.06;11.01.06.2026
4;BALAI;11.01.06;11.01.06.2027
4;ARAFAH;11.01.06;11.01.06.2028
3;SAWANG;11.01;11.01.07
4;SIKULAT;11.01.07;11.01.07.2001
4;SAWANG I;11.01.07;11.01.07.2002
4;MEULIGO;11.01.07;11.01.07.2003
4;LHOK PAWOH;11.01.07;11.01.07.2004
4;SAWANG II;11.01.07;11.01.07.2005
4;UJUNG KARANG;11.01.07;11.01.07.2006
4;TRIENG MEUDURO BAROH;11.01.07;11.01.07.2007
4;TRIENG MEUDURO TUNONG;11.01.07;11.01.07.2008
4;PANTON LUAS;11.01.07;11.01.07.2009
4;SIMPANG TIGA;11.01.07;11.01.07.2010
4;KUTA BARO;11.01.07;11.01.07.2011
4;BLANG GEULINGGANG;11.01.07;11.01.07.2012
4;MUTIARA;11.01.07;11.01.07.2013
4;UJUNG PADANG;11.01.07;11.01.07.2014
4;SAWANG BA'U;11.01.07;11.01.07.2015
3;TAPAKTUAN;11.01;11.01.08
4;LHOK KEUTAPANG;11.01.08;11.01.08.2001
4;HILIR;11.01.08;11.01.08.2002
4;PADANG;11.01.08;11.01.08.2003
4;HULU;11.01.08;11.01.08.2004
4;JAMBO APHA;11.01.08;11.01.08.2005
4;TEPI AIR;11.01.08;11.01.08.2006
4;PASAR;11.01.08;11.01.08.2007
4;LHOK BENGKUANG;11.01.08;11.01.08.2008
4;PANTON LUAS;11.01.08;11.01.08.2009
4;GUNUNG KERAMBIL;11.01.08;11.01.08.2010
4;AIR BERUNDANG;11.01.08;11.01.08.2011
4;BATU ITAM;11.01.08;11.01.08.2012
4;PANJUPIAN;11.01.08;11.01.08.2013
4;LHOK RUKAM;11.01.08;11.01.08.2014
4;AIR PINANG;11.01.08;11.01.08.2015
4;LHOK BENGKUANG TIMUR;11.01.08;11.01.08.2016
3;TRUMON;11.01;11.01.09
4;KEUDE TRUMON;11.01.09;11.01.09.2001
4;UJONG TANOH;11.01.09;11.01.09.2002
4;SIGLENG;11.01.09;11.01.09.2003
4;IE MEUDAMA;11.01.09;11.01.09.2004
4;TUEPIN TINGGI;11.01.09;11.01.09.2005
4;KUTA BARO;11.01.09;11.01.09.2006
4;PANTON BILIE;11.01.09;11.01.09.2007
4;KUTA PADANG;11.01.09;11.01.09.2012
4;RAKET;11.01.09;11.01.09.2013
4;GAMPONG TEUNGOH;11.01.09;11.01.09.2014
4;SEUNEUBOK  JAYA;11.01.09;11.01.09.2015
4;PADANG HARAPAN;11.01.09;11.01.09.2016
3;PASI RAJA;11.01;11.01.10
4;LADANG TEUNGOH;11.01.10;11.01.10.2001
4;PUCOK KRUENG;11.01.10;11.01.10.2002
4;SILOLO;11.01.10;11.01.10.2003
4;KAMPUNG BARU;11.01.10;11.01.10.2004
4;PANTON BILI;11.01.10;11.01.10.2005
4;PAYA ATEUK;11.01.10;11.01.10.2006
4;LADANG TUHA;11.01.10;11.01.10.2007
4;MATA IE;11.01.10;11.01.10.2008
4;UJONG BATEE;11.01.10;11.01.10.2009
4;LHOK SIALANG CUT;11.01.10;11.01.10.2010
4;SEUNEUBOK;11.01.10;11.01.10.2011
4;IE MIRAH;11.01.10;11.01.10.2012
4;PASIE RASIAN;11.01.10;11.01.10.2013
4;UJUNG PADANG RASIAN;11.01.10;11.01.10.2014
4;KRUENG KALEE;11.01.10;11.01.10.2015
4;LHOK SIALANG RAYEUK;11.01.10;11.01.10.2016
4;GAMPONG BARO;11.01.10;11.01.10.2017
4;TEUPIN GAJAH;11.01.10;11.01.10.2018
4;UJUNG PADANG ASAHAN;11.01.10;11.01.10.2019
4;PULO IE II;11.01.10;11.01.10.2020
4;PANTE RAJA;11.01.10;11.01.10.2021
3;LABUHAN HAJI TIMUR;11.01;11.01.11
4;TENGAH PEULUMAT;11.01.11;11.01.11.2001
